category_name,total_videos,avg_views,avg_engagement,view_rank,engagement_rank
Pets & Animals,30,3402380.0,7.02,1,8
Music,8012,1956834.0,8.25,2,5
Film & Animation,1607,1855686.0,5.43,3,9
Science & Technology,2477,1801976.0,10.02,4,2
Sports,2403,1397793.0,4.78,5,11
Entertainment,33798,1307070.0,4.41,6,13
People & Blogs,12744,1203327.0,7.27,7,7
Comedy,4750,1177732.0,8.78,8,4
Gaming,4651,1054363.0,10.45,9,1
Travel & Events,577,757838.0,9.13,10,3
News & Politics,2675,645302.0,2.34,11,14
Howto & Style,2428,637979.0,4.89,12,10
Education,2172,635018.0,8.16,13,6
Autos & Vehicles,497,524128.0,4.71,14,12
