channelTitle,trending_count,avg_views,min_views,max_views,performance_range
Vijay Television,2072,1942733.0,288605.0,5810611.0,5522006.0
Sony SAB,1092,1331292.0,289331.0,4484618.0,4195287.0
Sun TV,1081,1243734.0,199148.0,31702139.0,31502991.0
Colors TV,1073,883049.0,178770.0,6504822.0,6326052.0
Sourav Joshi Vlogs,983,3200263.0,659868.0,6434258.0,5774390.0
Asianet,844,731644.0,154630.0,2730300.0,2575670.0
HAR PAL GEO,774,4158582.0,843231.0,22717557.0,21874326.0
StarPlus,631,939420.0,137093.0,3546468.0,3409375.0
Colors Rishtey,630,900709.0,327800.0,1620280.0,1292480.0
ZEE5,602,1231917.0,113371.0,5698330.0,5584959.0
