category_rank,category_name,total_videos,avg_views,avg_engagement,avg_days_to_trend,views_quartile,engagement_quartile,combined_score,priority_rank,strategy_recommendation
1,Science & Technology,2477,1801976.0,10.02,0.14,1,1,2,1,High Priority
2,Music,8012,1956834.0,8.25,-0.08,1,2,3,1,High Priority
3,Comedy,4750,1177732.0,8.78,0.17,2,1,3,1,High Priority
4,Film & Animation,1607,1855686.0,5.43,0.05,1,3,4,2,Growth Potential
5,Sports,2403,1397793.0,4.78,-0.02,1,3,4,2,Growth Potential
6,People & Blogs,12744,1203327.0,7.27,0.07,2,2,4,2,Growth Potential
7,Gaming,4651,1054363.0,10.45,0.03,3,1,4,2,Growth Potential
8,Travel & Events,577,757838.0,9.13,-0.04,3,1,4,2,Growth Potential
9,Entertainment,33798,1307070.0,4.41,0.06,2,4,6,3,Stable
10,Education,2172,635018.0,8.16,0.08,4,2,6,3,Stable
11,News & Politics,2675,645302.0,2.34,0.03,3,4,7,4,Needs Improvement
12,Howto & Style,2428,637979.0,4.89,0.24,4,3,7,4,Needs Improvement
13,Autos & Vehicles,497,524128.0,4.71,0.1,4,4,8,4,Needs Improvement
